id,City,State,Low estimate,Best Guess,High estimate,Source1
574,"Tucson, AZ",AZ,15000,15000,15000,http://tucson.com/news/local/join-women-s-march-in-tucson/article_a3326d7b-dc9c-5b3f-a443-e6667b3f4a6b.html
575,"Tulsa, OK",OK,1000,1000,1000,http://www.tulsaworld.com/homepagelatest/tulsa-rally-promotes-cause-of-women-s-rights-indigenous-group/article_688e80bc-a873-5087-bf2f-057e22435172.html#.WIRHr5jrEik.twitter
576,"Tupper Lake, NY",NY,5,5,5,Eyewitness on site
577,"Tuscarora, NV",NV,7,7,7,Eyewitness on site
578,"Twisp, WA",WA,600,690,800,http://methowtv.com/womens-march-january-21-2017/
579,"Ukiah, CA",CA,1500,1725,2000,Eyewitness on site
580,"Unalakleet, AK",AK,38,39,40,adn.com
581,Unalaska (Dutch Harbor),AK,80,83,86,http://kucb.org/post/womens-march-draws-80-unalaskans
582,"Union, WA",WA,55,58,60,signature collection by organizer via google form
583,"University Park, MD",MD,80,80,80,Eyewitness on site
584,"Utica, NY",NY,200,250,300,http://www.wktv.com/story/34315510/peaceful-human-rights-march-at-mvcc
585,"Utqiagvik (Barrow), AK",AK,22,29,35,https://twitter.com/trulyfrancesca/status/823000866718420993
586,"Valdez, AK",AK,100,115,130,https://jackpineradicals.com/boards/topic/womens-march-in-gustavus-alaska/
587,"Vallejo, CA",CA,100,150,200,http://www.dailyrepublic.com/news/mare-island-walk-takes-stand-with-womens-march/
588,"Valparaiso, IN",IN,260,368,500,http://www.nwitimes.com/news/local/women-march-for-rights-in-valparaiso/article_a8aeff74-665f-52ec-a5ee-19cdbe93cf4e.html
589,"Vancouver, WA",WA,150,175,200,http://www.columbian.com/news/2017/jan/21/rally-vancouver-waterfront-solidarity-womens-marches/
590,"Vashon, WA",WA,253,262,270,onsite eyewitness headcount
591,"Ventura, CA",CA,1700,2285,3000,https://www.facebook.com/events/664366620399146/
592,"Vermillion, SD",SD,500,500,500,http://siouxcityjournal.com/news/photos-vermillion-women-s-march/collection_383f9a7a-0427-5ff3-bfb6-03d3a83ea4ad.html#1
593,"Vienna, VA",VA,28,32,35,Eyewitness on site
594,"Vieques, PR",PR,150,200,250,onsite eyewitness / signature collection via google form
595,"Vinalhaven, ME",ME,76,76,76,http://www.penbaypilot.com/article/vinalhaven-musters-sister-march-jan-21/81253
596,"Visalia, CA",CA,500,500,500,http://www.visaliatimesdelta.com/picture-gallery/news/2017/01/21/gallery-visalia-womens-march/96891282/
597,"Walla Walla, WA",WA,2000,2180,2400,union-bulletin.com
598,"Walnut Creek, CA",CA,3000,6150,10000,http://www.sfchronicle.com/bayarea/article/Crowds-gather-to-demonstrate-against-Trump-10873932.php
599,Washington DC,DC,500000,725000,1000000,https://www.nytimes.com/interactive/2017/01/22/us/politics/womens-march-trump-crowd-estimates.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=photo-spot-region&region=top-news&WT.nav=top-news&_r=0
600,"Watertown, NY",NY,250,250,250,http://www.watertowndailytimes.com/news03/watertown-sister-rally-invokes-hope-battles-injustice-20170121
601,"Watsonville, CA",CA,300,390,500,eyewitness
602,"Wausau, WI",WI,150,175,200,http://www.wausaudailyherald.com/story/news/2017/01/20/group-gathers-support-womens-march-wausau/96778196/
603,"Wellfleet, MA",MA,113,113,113,via email (JP)
604,"Wenatchee, WA",WA,2000,2000,2000,http://www.wenatcheeworld.com/news/2017/jan/21/huge-turnout-for-womens-march/
605,"West Chester, PA",PA,150,175,200,https://wcborodems.org/2017/01/21/in-solidarity-with-the-womens-march/
606,"West Jefferson, NC",NC,295,298,300,https://twitter.com/wineymomof2/status/822928844558663681
607,"West Lima, WI",WI,1,1,1,Twitter
608,"West Palm Beach, FL",FL,5000,5900,7000,http://www.palmbeachpost.com/news/local/thousands-turn-out-west-palm-for-women-rally-against-trump/GURHjHOiaBFtDfODkqg0fM/
609,"Westfield, NJ",NJ,1000,1450,2000,https://www.tapinto.net/towns/westfield/articles/womens-march-in-westfield-attracts-thousands
610,"Westwood, CA",CA,7,7,7,https://scontent.fsnc1-2.fna.fbcdn.net/v/t1.0-9/16143287_1327469003942570_8616922278418296058_n.jpg?oh=eb912bd6e7949caa7ef1ec1a7a691dda&oe=590F4747
611,"Wichita, KS",KS,3000,3000,3000,http://www.kansas.com/news/local/article127951994.html
612,"Wichita Falls, TX",TX,150,150,150,http://www.timesrecordnews.com/story/news/local/2017/01/21/group-peacefully-marches-voice-their-concerns/96891804/
613,"Williamsburg, VA",VA,700,835,1000,http://wydaily.com/2017/01/21/womens-march-in-williamsburg-a-family-affair/
614,"Willits, CA",CA,50,50,50,FB
615,"Wilmington, NC",NC,1000,1900,3000,http://www.starnewsonline.com/news/20170121/wilmington-womens-march-exceeds-crowd-goal-inspires-hope
616,"Wilmington, OH",OH,70,70,70,http://wnewsj.com/news/34216/locals-join-womens-march
617,"Wilton, NH",NH,100,113,125,onsite eyewitness who did headcount (via google form)
618,"Winchester, VA",VA,1200,1245,1300,onsite eyewitness & local news (via google form)
619,"Winters, CA",CA,200,200,200,FB
620,Women's March Online,--,415,415,415,FB
621,"Woods Hole, MA",MA,1,1,1,marcher self-report with photo on FB
622,"Woodstock, NY",NY,1000,1000,1000,http://media.dailyfreeman.com/2017/01/21/photos-from-the-womens-march-in-woodstock/
623,"Woodstock, VA",VA,400,400,400,http://www.nvdaily.com/uncategorized/2017/01/women-hold-sister-march-in-woodstock/
624,"Wooster, OH",OH,500,725,1000,http://www.the-daily-record.com/local%20news/2017/01/22/rally-at-wooster-gazebo-draws-500
625,"Wyckoff, NJ",NJ,300,390,500,http://www.northjersey.com/story/news/local/2017/01/21/local-womens-marches-draw-far-larger-crowds-than-expected/96778300/
626,"Yakima, WA",WA,800,890,1000,http://www.yakimaherald.com/news/local/hundreds-are-marching-through-yakima/article_1a192d50-e009-11e6-87ed-17b155bb6c9c.html
627,"Yellow Springs, OH",OH,250,250,250,http://ysnews.com/news/2017/01/yellow-springs-sister-march-draws-at-least-250
628,"Ypsilanti, MI",MI,1200,1200,1200,https://www.facebook.com/events/1520855921262573/
629,"Yucca Valley, CA",CA,76,138,200,indivisiblemb.org
630,"Yuma, AZ",AZ,10,10,10,FB
631,"Zebulon, GA",GA,35,35,35,SPLCenter on twitter
